id,context,question,answer,answer_start,difficulty
183,Crescent Media Group was founded in Stockholm in 2014 by Liam Kim. The company now employs more than 500000 people across the United States.,In what year was Crescent Media Group founded?,2014,49,Intermediate
184,NextGen Software Labs was founded in Stockholm in 1997 by Lucas Osei. The company now employs more than 500000 people across Germany.,Who founded NextGen Software Labs?,Lucas Osei,58,Intermediate
185,Emma Hall published a research paper on renewable energy storage in 2018 while working at Zenith Pharmaceuticals in Vancouver.,In what year did Emma Hall publish the paper?,2018,68,Intermediate
186,Grace Novak joined Northfield University as a operations coordinator in 1990 and later moved to the Cairo office in 1992.,What role did Grace Novak join Northfield University as?,operations coordinator,46,Intermediate
187,The Grand Observatory was completed in 1993 and is located in Buenos Aires. It attracts roughly 8700 visitors every year.,When was the Grand Observatory completed?,1993,39,Intermediate
188,The Harborview Bridge was completed in 1992 and is located in Austin. It attracts roughly 45000 visitors every year.,Where is the Harborview Bridge located?,Austin,62,Beginner
189,Falcon Logistics was founded in Kuala Lumpur in 2017 by Felix Costa. The company now employs more than 1200 people across Kenya.,Who founded Falcon Logistics?,Felix Costa,56,Intermediate
190,"The science and innovation fair took place in Cape Town on April 15, 2021, drawing an audience of about 22000 people from around Finland.",When did the science and innovation fair take place?,"April 15, 2021",59,Beginner
191,"The global health conference took place in Toronto on February 11, 2017, drawing an audience of about 8700 people from around Kenya.",When did the global health conference take place?,"February 11, 2017",54,Intermediate
192,"The global health conference took place in Seoul on May 14, 2018, drawing an audience of about 3400 people from around Australia.",When did the global health conference take place?,"May 14, 2018",52,Intermediate
193,Skyline Real Estate was founded in Vancouver in 2007 by Wei Nguyen. The company now employs more than 3400 people across the Czech Republic.,Who founded Skyline Real Estate?,Wei Nguyen,56,Intermediate
194,"The robotics championship took place in Melbourne on December 21, 2018, drawing an audience of about 22000 people from around Japan.",When did the robotics championship take place?,"December 21, 2018",53,Intermediate
195,The Grand Observatory was completed in 2023 and is located in Wellington. It attracts roughly 3400 visitors every year.,When was the Grand Observatory completed?,2023,39,Intermediate
196,Emma Wright published a research paper on machine translation in 1999 while working at Union Manufacturing Corp. in Osaka.,In what year did Emma Wright publish the paper?,1999,65,Beginner
197,Lakeside Medical Center was founded in Mumbai in 1999 by Ibrahim Green. The company now employs more than 45000 people across Sweden.,In which city was Lakeside Medical Center founded?,Mumbai,39,Intermediate
198,The Riverside Museum was completed in 2003 and is located in Vancouver. It attracts roughly 8700 visitors every year.,Where is the Riverside Museum located?,Vancouver,61,Advanced
199,James Costa joined Cedar Grove Hospital as a research scientist in 2015 and later moved to the Zurich office in 2020.,In what year did James Costa join Cedar Grove Hospital?,2015,67,Advanced
200,Silverline Motors was founded in Kuala Lumpur in 2002 by Priya Khan. The company now employs more than 8700 people across Indonesia.,In which city was Silverline Motors founded?,Kuala Lumpur,33,Advanced
201,"The global health conference took place in Osaka on September 14, 2018, drawing an audience of about 15000 people from around India.",When did the global health conference take place?,"September 14, 2018",52,Advanced
202,Samuel Walker published a research paper on urban air quality in 2023 while working at Riverside Bank in Osaka.,What topic did Samuel Walker research?,urban air quality,44,Advanced
203,"The international film festival took place in Warsaw on June 2, 2016, drawing an audience of about 500000 people from around Poland.",When did the international film festival take place?,"June 2, 2016",56,Beginner
204,Northfield University was founded in Santiago in 2023 by Nina Patel. The company now employs more than 1200 people across Japan.,In which city was Northfield University founded?,Santiago,37,Intermediate
205,Carlos Haddad joined Oakwood Publishing House as a senior analyst in 2005 and later moved to the Prague office in 2008.,Which office did Carlos Haddad later move to?,Prague,97,Beginner
206,The National Science Center was completed in 2003 and is located in Warsaw. It attracts roughly 250000 visitors every year.,When was the National Science Center completed?,2003,45,Intermediate
207,The Riverside Museum was completed in 1990 and is located in Prague. It attracts roughly 96000 visitors every year.,Where is the Riverside Museum located?,Prague,61,Intermediate
208,Lucas Khan published a research paper on machine translation in 2017 while working at Quantum Innovations in Osaka.,In what year did Lucas Khan publish the paper?,2017,64,Advanced
209,NextGen Software Labs was founded in Toronto in 2005 by Hana Dubois. The company now employs more than 8700 people across the Czech Republic.,In what year was NextGen Software Labs founded?,2005,48,Intermediate
210,"The global health conference took place in Stockholm on June 18, 2017, drawing an audience of about 45000 people from around the Philippines.",Where did the global health conference take place?,Stockholm,43,Intermediate
211,The National Science Center was completed in 2005 and is located in Bangkok. It attracts roughly 15000 visitors every year.,When was the National Science Center completed?,2005,45,Intermediate
212,The Old Town Hall was completed in 2022 and is located in Cape Town. It attracts roughly 3400 visitors every year.,When was the Old Town Hall completed?,2022,35,Intermediate
213,Sara Baker joined Lakeside Medical Center as a lead engineer in 2000 and later moved to the Marrakesh office in 2002.,What role did Sara Baker join Lakeside Medical Center as?,lead engineer,47,Advanced
214,Chloe Yamamoto joined Northfield University as a project manager in 2002 and later moved to the Wellington office in 2006.,Which office did Chloe Yamamoto later move to?,Wellington,96,Intermediate
215,Mark Smith joined Delta Cloud Services as a senior analyst in 2015 and later moved to the Amsterdam office in 2018.,Which office did Mark Smith later move to?,Amsterdam,90,Beginner
216,Aisha Clark joined Aurora Data Systems as a operations coordinator in 2021 and later moved to the Buenos Aires office in 2024.,In what year did Aisha Clark join Aurora Data Systems?,2021,70,Beginner
217,Quantum Innovations was founded in Osaka in 1997 by Hassan Walker. The company now employs more than 45000 people across Sweden.,Who founded Quantum Innovations?,Hassan Walker,52,Beginner
218,The National Science Center was completed in 1995 and is located in Marrakesh. It attracts roughly 15000 visitors every year.,When was the National Science Center completed?,1995,45,Beginner
219,Elena Rossi joined Silverline Motors as a lead engineer in 2017 and later moved to the Denver office in 2018.,What role did Elena Rossi join Silverline Motors as?,lead engineer,42,Advanced
220,"The science and innovation fair took place in Warsaw on April 17, 2017, drawing an audience of about 3400 people from around Kenya.",Where did the science and innovation fair take place?,Warsaw,46,Intermediate
221,Silverline Motors was founded in Buenos Aires in 2022 by Grace Silva. The company now employs more than 22000 people across the Philippines.,Who founded Silverline Motors?,Grace Silva,57,Advanced
222,"The annual jazz festival took place in Osaka on January 23, 2015, drawing an audience of about 15000 people from around Portugal.",Where did the annual jazz festival take place?,Osaka,39,Intermediate
223,Northfield University was founded in Nairobi in 1994 by Ahmed Costa. The company now employs more than 1200 people across Indonesia.,In which city was Northfield University founded?,Nairobi,37,Intermediate
224,The Riverside Museum was completed in 2006 and is located in Stockholm. It attracts roughly 15000 visitors every year.,Where is the Riverside Museum located?,Stockholm,61,Beginner
225,Carlos Silva joined Skyline Real Estate as a project manager in 2020 and later moved to the Edinburgh office in 2023.,In what year did Carlos Silva join Skyline Real Estate?,2020,64,Intermediate
