id,sentence_1,sentence_2,similarity_score,similarity_label,relationship
216,The hospital opened a new wing dedicated to pediatric care.,The hospital closed its pediatric care wing due to budget cuts.,0.24,Low,Contradiction
217,Sources confirmed that funding for a new public park was approved by the city council.,Funding for a new public park was approved by the city council.,0.96,Very High,Same Meaning
218,"Notably, the museum unveiled a new exhibit on ancient civilizations.","According to the report, visitors can attend guided tours of the museum every weekend.",0.45,Medium,Related
219,"According to the report, the startup developed an app that helps farmers monitor soil health.","As widely reported, the museum unveiled a new exhibit on ancient civilizations.",0.0,Very Low,Unrelated
220,"As widely reported, the guests were served a tasty meal that the chef had cooked.",Local residents have long requested more green spaces downtown.,0.03,Very Low,Unrelated
221,The novelist released her long-awaited sequel this spring.,"As widely reported, the novelist released her long-awaited sequel this spring.",0.85,High,Paraphrase
222,Sources confirmed that the film received widespread critical acclaim upon release.,"Upon its release, the film was widely praised by critics.",0.85,High,Paraphrase
223,The airline canceled several flights due to bad weather.,"According to the report, passengers were offered vouchers for future travel after the disruption.",0.52,Medium,Related
224,An app for monitoring soil health was created by the startup for farmers.,Sources confirmed that the startup developed an app that helps farmers monitor soil health.,0.83,High,Paraphrase
225,Sources confirmed that the volunteers cleaned up litter along the riverbank last weekend.,The riverbank cleanup event was canceled due to low turnout.,0.27,Low,Contradiction
226,"As widely reported, new equipment was installed at the factory to cut energy use.","According to the report, new equipment was installed at the factory to cut energy use.",0.99,Very High,Same Meaning
227,"Just before sunset, the hikers arrived at the summit.","As widely reported, the trail offered stunning views of the surrounding valley.",0.47,Medium,Related
228,"According to the report, a new gluten-free pastry line was launched by the bakery.","According to the report, the bakery introduced a new line of gluten-free pastries.",0.83,High,Paraphrase
229,Sources confirmed that a moving tribute to the late composer was performed by the orchestra.,It was noted that tickets for the tribute concert sold out within hours.,0.53,Medium,Related
230,"According to the report, the hikers reached the summit just before sunset.",It was noted that investors reacted positively to the company's latest earnings call.,0.02,Very Low,Unrelated
231,The orchestra honored the late composer with an emotional performance.,"According to the report, the orchestra performed a moving tribute to the late composer.",0.83,High,Paraphrase
232,"As widely reported, the students put in a lot of effort studying for finals.","As widely reported, the students studied hard for their final exams.",0.97,Very High,Same Meaning
233,"Notably, an app for monitoring soil health was created by the startup for farmers.","As widely reported, the startup developed an app that helps farmers monitor soil health.",0.81,High,Paraphrase
234,It was noted that an app for monitoring soil health was created by the startup for farmers.,"Notably, the startup developed an app that helps farmers monitor soil health.",0.92,Very High,Same Meaning
235,New equipment was installed at the factory to cut energy use.,It was noted that the factory's energy consumption rose after the equipment failed.,0.3,Low,Contradiction
236,"As widely reported, the company announced record profits this quarter.","As widely reported, investors reacted positively to the company's latest earnings call.",0.56,Medium,Related
237,The airline canceled several flights due to bad weather.,Sources confirmed that passengers were offered vouchers for future travel after the disruption.,0.55,Medium,Related
238,"Notably, litter along the riverbank was cleared by volunteers last weekend.","Notably, last weekend, volunteers spent hours removing litter from the riverbank.",0.78,High,Paraphrase
239,"According to the report, a much better camera is one of the new smartphone's key features.","According to the report, the new smartphone's camera quality is worse than the previous model.",0.35,Low,Contradiction
240,"Notably, the museum unveiled a new exhibit on ancient civilizations.",The museum closed its ancient civilizations exhibit permanently.,0.16,Low,Contradiction
241,"As widely reported, the hospital's new wing focuses on caring for young patients.","As widely reported, the novelist released her long-awaited sequel this spring.",0.02,Very Low,Unrelated
242,Record profits were announced by the company for the current quarter.,"According to the report, investors reacted positively to the company's latest earnings call.",0.62,Medium,Related
243,It was noted that an app for monitoring soil health was created by the startup for farmers.,It was noted that the startup developed an app that helps farmers monitor soil health.,0.86,High,Paraphrase
244,"According to the report, several flights were canceled by the airline because of poor weather conditions.","As widely reported, the airline operated all its flights on schedule despite the storm.",0.24,Low,Contradiction
