id,text,task,input_type,expected_output,difficulty
204,Example: Wei Fernandez joined Oakwood Publishing House in Edinburgh last year.,Named Entity Recognition,Single Sentence,"PERSON: Wei Fernandez, ORG: Oakwood Publishing House, GPE: Edinburgh",Advanced
205,Case in point: The mechanic inspected the car's [MASK] before the road trip.,Masked Language Modeling,Masked Sentence,engine,Beginner
206,"For instance, Kevin Haddad joined Ironwood Steel Works in Bangkok last year.",Named Entity Recognition,Single Sentence,"PERSON: Kevin Haddad, ORG: Ironwood Steel Works, GPE: Bangkok",Beginner
207,Reference text: The barista prepared a fresh cup of [MASK] for the customer.,Masked Language Modeling,Masked Sentence,coffee,Beginner
208,"Case in point: Overall, the hotel stay was impressive based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Intermediate
209,Consider the following: The engineer reviewed the blueprint before the [MASK].,Masked Language Modeling,Masked Sentence,construction,Intermediate
210,Take the following text: The hikers packed extra water before reaching the [MASK].,Masked Language Modeling,Masked Sentence,summit,Intermediate
211,Here is a case to review: The Eiffel Tower was completed in 1889 and stands in Paris.|What year was the Eiffel Tower completed?,Question Answering,Context + Question,1889,Advanced
212,"Please review: Overall, the online course was slow based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Beginner
213,Review this input: Continue the story: The old lighthouse had been abandoned for decades until...,Text Generation,Prompt,...a young sailor discovered a hidden journal inside its rusted walls.,Advanced
214,"As an example, Chen Kim was appointed as the new director at Northfield University.",Named Entity Recognition,Single Sentence,"PERSON: Chen Kim, ORG: Northfield University",Beginner
215,Note the following: The scientist conducted an experiment in the [MASK].,Masked Language Modeling,Masked Sentence,laboratory,Advanced
216,"Example: Overall, the customer service team was frustrating based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Advanced
217,"Take the following text: Overall, the hotel stay was disappointing based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Intermediate
218,Example: The orchestra performed a piece composed specifically for the occasion.|What kind of piece did the orchestra perform?,Question Answering,Context + Question,a piece composed specifically for the occasion,Beginner
219,Sample input: James Young joined Delta Cloud Services in Nairobi last year.,Named Entity Recognition,Single Sentence,"PERSON: James Young, ORG: Delta Cloud Services, GPE: Nairobi",Beginner
220,Note the following: Isabella Yamamoto was appointed as the new director at Aurora Data Systems.,Named Entity Recognition,Single Sentence,"PERSON: Isabella Yamamoto, ORG: Aurora Data Systems",Advanced
221,"As an example, Lucas Moore was appointed as the new director at Meridian Financial Group.",Named Entity Recognition,Single Sentence,"PERSON: Lucas Moore, ORG: Meridian Financial Group",Intermediate
222,Task input: Scientists discovered a new species in the rainforest canopy.,Text Classification,Single Sentence,Science,Beginner
223,Note the following: The airline canceled several flights due to weather.|The library added new titles to its collection.,Text Similarity,Sentence Pair,Low similarity (unrelated),Advanced
224,Carlos Petrov joined Quantum Innovations in Prague last year.,Named Entity Recognition,Single Sentence,"PERSON: Carlos Petrov, ORG: Quantum Innovations, GPE: Prague",Intermediate
225,"As an example, The train journey between the two cities takes about four hours.|How long does the train journey take?",Question Answering,Context + Question,about four hours,Beginner
226,"As an example, The concert featured a surprise duet that thrilled the crowd.",Text Classification,Single Sentence,Entertainment,Intermediate
227,"As an example, The pilot announced a delay because of the [MASK].",Masked Language Modeling,Masked Sentence,weather,Beginner
228,Consider the following: Write a tagline for a new fitness app.,Text Generation,Prompt,"Track your progress, build your habits, and reach your goals every day.",Beginner
229,"Consider the following: Overall, the fitness tracker was impressive based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Intermediate
230,Consider the following: Draft a short welcome message for new employees.,Text Generation,Prompt,Welcome to the team; we're excited to have you join us on this journey.,Advanced
231,Reference text: Critics praised the director's bold approach to the classic story.,Text Classification,Single Sentence,Entertainment,Advanced
232,Reference text: A critical vulnerability was patched in the latest software update.,Text Classification,Single Sentence,Technology,Beginner
233,See below: The airline canceled several flights due to weather.|The library added new titles to its collection.,Text Similarity,Sentence Pair,Low similarity (unrelated),Advanced
234,Reference text: The city unveiled a new walking trail along the historic waterfront.,Text Classification,Single Sentence,Travel,Beginner
235,"For instance, The pilot announced a delay because of the [MASK].",Masked Language Modeling,Masked Sentence,weather,Intermediate
236,"Note the following: Researchers at the university tracked bird migration patterns for over a decade, finding that changing climate conditions have shifted the timing of seasonal movement significantly.",Text Summarization,Paragraph,Decade-long study finds climate change shifting bird migration timing.,Beginner
237,The photographer waited for the perfect [MASK] to take the shot.,Masked Language Modeling,Masked Sentence,light,Intermediate
238,Please review: Critics praised the director's bold approach to the classic story.,Text Classification,Single Sentence,Entertainment,Intermediate
239,"Review this input: The city's new bike-sharing program has already logged tens of thousands of rides in its first month, with officials crediting expanded lanes and lower fares for the early success.",Text Summarization,Paragraph,City's new bike-sharing program sees strong early adoption.,Advanced
240,"Note the following: Overall, the online course was reliable based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Intermediate
241,Nadia Kowalski was appointed as the new director at Coastal Insurance Co..,Named Entity Recognition,Single Sentence,"PERSON: Nadia Kowalski, ORG: Coastal Insurance Co.",Advanced
242,Input sample: The company reduced its carbon emissions by thirty percent last year.|By how much did the company reduce its carbon emissions?,Question Answering,Context + Question,thirty percent,Intermediate
243,"Please review: Overall, the customer support agent was efficient based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Advanced
244,"Sample input: A local nonprofit distributed thousands of winter coats to families in need, relying entirely on community donations and volunteer coordination.",Text Summarization,Paragraph,Nonprofit distributes winter coats to families through community donations.,Intermediate
